engine,model_key,runs,mean_words,sd_words,mean_mattr_50,mean_mtld,mean_word_entropy_bits,mean_distinct_2,mean_repeated_trigram_fraction,mean_prompt_tfidf_cosine,mean_previous_step_tfidf_cosine,mean_flesch_reading_ease,mean_flesch_kincaid_grade,mean_gunning_fog
agc,distilgpt2,4,88.5,83.58827668997608,0.9509112903225807,279.23184891808353,5.24804534143525,0.9532019704433498,0.045792079207920805,0.021601762857633384,0.3430071612804046,42.1443482238786,12.08416107881509,16.053682705959098
agc,gpt2,4,84.25,37.74806838325197,0.9649369625114803,1072.7463647343016,6.126248058518306,1.0,0.0,0.016678388358409506,0.00925871380652682,58.671946773245494,11.248166752273878,14.59954959372707
agc,qwen2.5-0.5b-instruct,4,57.25,29.725129660496577,0.8761317966903073,134.28133550488602,5.319870855912042,0.9919354838709677,0.0,0.04791515468846112,0.18300109165168021,36.60085737179489,14.095809294871795,17.389850427350428
lvtc,distilgpt2,4,107.75,89.55584849690165,0.6962363316696915,221.56620881769754,5.000507599131652,0.7091346153846154,0.039855072463768126,0.014290993306885335,0.41213715043261057,31.447409274935616,10.259710940375415,12.492964462438147
lvtc,gpt2,4,85.25,36.08670115153226,0.983047149122807,954.0789999999995,6.200139103889259,1.0,0.0,0.01815529985731911,0.01996097731155876,56.672622738878324,10.726887431220286,12.860235977961027
lvtc,qwen2.5-0.5b-instruct,3,99.33333333333333,3.0550504633038935,0.938624118722827,261.7985858585858,6.358474998634841,1.0,0.0,0.033148104808791545,0.1298198780150572,20.612666666666694,15.045253968253968,20.266199813258638
rtsm,distilgpt2,4,365.25,99.92455487349777,0.9729262950428547,587.0590699604452,7.943788352986452,0.8780661052563348,0.11897590361445784,0.21419636140598977,0.9501083521413576,45.473821663649474,14.25379600480259,17.034726623136038
rtsm,gpt2,4,379.75,75.44700126578923,0.9851346090876726,1508.5755072463767,8.38581498644144,1.0,0.0,0.19201213178137666,0.8803013072456298,30.609786104210407,17.64874668915907,20.42339050784045
rtsm,qwen2.5-0.5b-instruct,4,350.5,64.24173098539609,0.8983576751680568,307.2416147744242,7.558724405413546,0.9836302866050923,0.001918255455146567,0.2606676762709331,0.9177758203943513,37.79995724114356,13.03055581397398,16.179379842332345
srpf,distilgpt2,4,76.5,69.1158447825099,0.9278013468013467,133.81466788161254,4.376902159553909,0.6170886075949367,0.12738853503184713,0.01836895823618946,0.24887783122431606,69.89603658065553,11.517892848876262,18.769356286681123
srpf,gpt2,4,90.75,48.97193073588175,0.9941807563959956,854.0574999999997,6.178912399158601,1.0,0.0,0.0052254971786737615,0.013243120636986178,24.2040139651684,21.540831680981245,24.697588898490025
srpf,qwen2.5-0.5b-instruct,3,128.0,18.734993995195193,0.9067974048019796,229.26984313725492,6.489668985528806,0.9904514808147128,0.0,0.06490204654171935,0.2472375085611764,32.35743904041977,14.273634389161314,17.433796607447047
